1606: T4_RUNE                                                          : Adept's Rune
1668: T8_OFF_SHIELD@3                                                  : Elder's Shield
1669: T8_OFF_SHIELD@4                                                  : Elder's Shield
1670: T4_OFF_TOWERSHIELD_UNDEAD                                        : Adept's Sarcophagus
1671: T4_OFF_TOWERSHIELD_UNDEAD@1                                      : Adept's Sarcophagus
1672: T4_OFF_TOWERSHIELD_UNDEAD@2                                      : Adept's Sarcophagus
1673: T4_OFF_TOWERSHIELD_UNDEAD@3                                      : Adept's Sarcophagus
1674: T4_OFF_TOWERSHIELD_UNDEAD@4                                      : Adept's Sarcophagus
1675: T5_OFF_TOWERSHIELD_UNDEAD                                        : Expert's Sarcophagus
1676: T5_OFF_TOWERSHIELD_UNDEAD@1                                      : Expert's Sarcophagus
1677: T5_OFF_TOWERSHIELD_UNDEAD@2                                      : Expert's Sarcophagus
1678: T5_OFF_TOWERSHIELD_UNDEAD@3                                      : Expert's Sarcophagus
1679: T5_OFF_TOWERSHIELD_UNDEAD@4                                      : Expert's Sarcophagus
1680: T6_OFF_TOWERSHIELD_UNDEAD                                        : Master's Sarcophagus
1681: T6_OFF_TOWERSHIELD_UNDEAD@1                                      : Master's Sarcophagus
1682: T6_OFF_TOWERSHIELD_UNDEAD@2                                      : Master's Sarcophagus
1683: T6_OFF_TOWERSHIELD_UNDEAD@3                                      : Master's Sarcophagus
1684: T6_OFF_TOWERSHIELD_UNDEAD@4                                      : Master's Sarcophagus
1685: T7_OFF_TOWERSHIELD_UNDEAD                                        : Grandmaster's Sarcophagus
1686: T7_OFF_TOWERSHIELD_UNDEAD@1                                      : Grandmaster's Sarcophagus
1687: T7_OFF_TOWERSHIELD_UNDEAD@2                                      : Grandmaster's Sarcophagus
1688: T7_OFF_TOWERSHIELD_UNDEAD@3                                      : Grandmaster's Sarcophagus
1689: T7_OFF_TOWERSHIELD_UNDEAD@4                                      : Grandmaster's Sarcophagus
1690: T8_OFF_TOWERSHIELD_UNDEAD                                        : Elder's Sarcophagus
1691: T8_OFF_TOWERSHIELD_UNDEAD@1                                      : Elder's Sarcophagus
1692: T8_OFF_TOWERSHIELD_UNDEAD@2                                      : Elder's Sarcophagus
1693: T8_OFF_TOWERSHIELD_UNDEAD@3                                      : Elder's Sarcophagus
1694: T8_OFF_TOWERSHIELD_UNDEAD@4                                      : Elder's Sarcophagus
1695: T4_OFF_SHIELD_HELL                                               : Adept's Caitiff Shield
1696: T4_OFF_SHIELD_HELL@1                                             : Adept's Caitiff Shield
1697: T4_OFF_SHIELD_HELL@2                                             : Adept's Caitiff Shield
1698: T4_OFF_SHIELD_HELL@3                                             : Adept's Caitiff Shield
1699: T4_OFF_SHIELD_HELL@4                                             : Adept's Caitiff Shield
1700: T5_OFF_SHIELD_HELL                                               : Expert's Caitiff Shield
1701: T5_OFF_SHIELD_HELL@1                                             : Expert's Caitiff Shield
1702: T5_OFF_SHIELD_HELL@2                                             : Expert's Caitiff Shield
1703: T5_OFF_SHIELD_HELL@3                                             : Expert's Caitiff Shield
1704: T5_OFF_SHIELD_HELL@4                                             : Expert's Caitiff Shield
1705: T6_OFF_SHIELD_HELL                                               : Master's Caitiff Shield
1706: T6_OFF_SHIELD_HELL@1                                             : Master's Caitiff Shield
1707: T6_OFF_SHIELD_HELL@2                                             : Master's Caitiff Shield
1708: T6_OFF_SHIELD_HELL@3                                             : Master's Caitiff Shield
1709: T6_OFF_SHIELD_HELL@4                                             : Master's Caitiff Shield
1710: T7_OFF_SHIELD_HELL                                               : Grandmaster's Caitiff Shield
1711: T7_OFF_SHIELD_HELL@1                                             : Grandmaster's Caitiff Shield
1712: T7_OFF_SHIELD_HELL@2                                             : Grandmaster's Caitiff Shield
1713: T7_OFF_SHIELD_HELL@3                                             : Grandmaster's Caitiff Shield
1714: T7_OFF_SHIELD_HELL@4                                             : Grandmaster's Caitiff Shield
1715: T8_OFF_SHIELD_HELL                                               : Elder's Caitiff Shield
1716: T8_OFF_SHIELD_HELL@1                                             : Elder's Caitiff Shield
1717: T8_OFF_SHIELD_HELL@2                                             : Elder's Caitiff Shield
1718: T8_OFF_SHIELD_HELL@3                                             : Elder's Caitiff Shield
1719: T8_OFF_SHIELD_HELL@4                                             : Elder's Caitiff Shield
1720: T4_OFF_SPIKEDSHIELD_MORGANA                                      : Adept's Facebreaker
1721: T4_OFF_SPIKEDSHIELD_MORGANA@1                                    : Adept's Facebreaker
1722: T4_OFF_SPIKEDSHIELD_MORGANA@2                                    : Adept's Facebreaker
1723: T4_OFF_SPIKEDSHIELD_MORGANA@3                                    : Adept's Facebreaker
1724: T4_OFF_SPIKEDSHIELD_MORGANA@4                                    : Adept's Facebreaker
1725: T5_OFF_SPIKEDSHIELD_MORGANA                                      : Expert's Facebreaker
1726: T5_OFF_SPIKEDSHIELD_MORGANA@1                                    : Expert's Facebreaker
1727: T5_OFF_SPIKEDSHIELD_MORGANA@2                                    : Expert's Facebreaker
1728: T5_OFF_SPIKEDSHIELD_MORGANA@3                                    : Expert's Facebreaker
1729: T5_OFF_SPIKEDSHIELD_MORGANA@4                                    : Expert's Facebreaker
1730: T6_OFF_SPIKEDSHIELD_MORGANA                                      : Master's Facebreaker
1731: T6_OFF_SPIKEDSHIELD_MORGANA@1                                    : Master's Facebreaker
1732: T6_OFF_SPIKEDSHIELD_MORGANA@2                                    : Master's Facebreaker
1733: T6_OFF_SPIKEDSHIELD_MORGANA@3                                    : Master's Facebreaker
1734: T6_OFF_SPIKEDSHIELD_MORGANA@4                                    : Master's Facebreaker
1735: T7_OFF_SPIKEDSHIELD_MORGANA                                      : Grandmaster's Facebreaker
1736: T7_OFF_SPIKEDSHIELD_MORGANA@1                                    : Grandmaster's Facebreaker
1737: T7_OFF_SPIKEDSHIELD_MORGANA@2                                    : Grandmaster's Facebreaker
1738: T7_OFF_SPIKEDSHIELD_MORGANA@3                                    : Grandmaster's Facebreaker
1739: T7_OFF_SPIKEDSHIELD_MORGANA@4                                    : Grandmaster's Facebreaker
1740: T8_OFF_SPIKEDSHIELD_MORGANA                                      : Elder's Facebreaker
1741: T8_OFF_SPIKEDSHIELD_MORGANA@1                                    : Elder's Facebreaker
1742: T8_OFF_SPIKEDSHIELD_MORGANA@2                                    : Elder's Facebreaker
1743: T8_OFF_SPIKEDSHIELD_MORGANA@3                                    : Elder's Facebreaker
1744: T8_OFF_SPIKEDSHIELD_MORGANA@4                                    : Elder's Facebreaker
1745: T4_OFF_SHIELD_AVALON                                             : Adept's Astral Aegis
1746: T4_OFF_SHIELD_AVALON@1                                           : Adept's Astral Aegis
1747: T4_OFF_SHIELD_AVALON@2                                           : Adept's Astral Aegis
1748: T4_OFF_SHIELD_AVALON@3                                           : Adept's Astral Aegis
1749: T4_OFF_SHIELD_AVALON@4                                           : Adept's Astral Aegis
1750: T5_OFF_SHIELD_AVALON                                             : Expert's Astral Aegis
1751: T5_OFF_SHIELD_AVALON@1                                           : Expert's Astral Aegis
1752: T5_OFF_SHIELD_AVALON@2                                           : Expert's Astral Aegis
1753: T5_OFF_SHIELD_AVALON@3                                           : Expert's Astral Aegis
1754: T5_OFF_SHIELD_AVALON@4                                           : Expert's Astral Aegis
1755: T6_OFF_SHIELD_AVALON                                             : Master's Astral Aegis
1756: T6_OFF_SHIELD_AVALON@1                                           : Master's Astral Aegis
1757: T6_OFF_SHIELD_AVALON@2                                           : Master's Astral Aegis
1758: T6_OFF_SHIELD_AVALON@3                                           : Master's Astral Aegis
1759: T6_OFF_SHIELD_AVALON@4                                           : Master's Astral Aegis
1760: T7_OFF_SHIELD_AVALON                                             : Grandmaster's Astral Aegis
1761: T7_OFF_SHIELD_AVALON@1                                           : Grandmaster's Astral Aegis
1762: T7_OFF_SHIELD_AVALON@2                                           : Grandmaster's Astral Aegis
1763: T7_OFF_SHIELD_AVALON@3                                           : Grandmaster's Astral Aegis
1764: T7_OFF_SHIELD_AVALON@4                                           : Grandmaster's Astral Aegis
1765: T8_OFF_SHIELD_AVALON                                             : Elder's Astral Aegis
1766: T8_OFF_SHIELD_AVALON@1                                           : Elder's Astral Aegis
1767: T8_OFF_SHIELD_AVALON@2                                           : Elder's Astral Aegis
1768: T8_OFF_SHIELD_AVALON@3                                           : Elder's Astral Aegis
1769: T8_OFF_SHIELD_AVALON@4                                           : Elder's Astral Aegis
1770: T2_OFF_BOOK                                                      : Novice's Tome of Spells
1771: T3_OFF_BOOK                                                      : Journeyman's Tome of Spells
1772: T4_OFF_BOOK                                                      : Adept's Tome of Spells
1773: T4_OFF_BOOK@1                                                    : Adept's Tome of Spells
1774: T4_OFF_BOOK@2                                                    : Adept's Tome of Spells
1775: T4_OFF_BOOK@3                                                    : Adept's Tome of Spells
1776: T4_OFF_BOOK@4                                                    : Adept's Tome of Spells
1777: T5_OFF_BOOK                                                      : Expert's Tome of Spells
1778: T5_OFF_BOOK@1                                                    : Expert's Tome of Spells
1779: T5_OFF_BOOK@2                                                    : Expert's Tome of Spells
1780: T5_OFF_BOOK@3                                                    : Expert's Tome of Spells
1781: T5_OFF_BOOK@4                                                    : Expert's Tome of Spells
1782: T6_OFF_BOOK                                                      : Master's Tome of Spells
1783: T6_OFF_BOOK@1                                                    : Master's Tome of Spells
1784: T6_OFF_BOOK@2                                                    : Master's Tome of Spells
1785: T6_OFF_BOOK@3                                                    : Master's Tome of Spells
1786: T6_OFF_BOOK@4                                                    : Master's Tome of Spells
1787: T7_OFF_BOOK                                                      : Grandmaster's Tome of Spells
1788: T7_OFF_BOOK@1                                                    : Grandmaster's Tome of Spells
1789: T7_OFF_BOOK@2                                                    : Grandmaster's Tome of Spells
1790: T7_OFF_BOOK@3                                                    : Grandmaster's Tome of Spells
1791: T7_OFF_BOOK@4                                                    : Grandmaster's Tome of Spells
1792: T8_OFF_BOOK                                                      : Rosalia's Diary
1793: T8_OFF_BOOK@1                                                    : Rosalia's Diary
1794: T8_OFF_BOOK@2                                                    : Rosalia's Diary
1795: T8_OFF_BOOK@3                                                    : Rosalia's Diary
1796: T8_OFF_BOOK@4                                                    : Rosalia's Diary
1797: T4_OFF_ORB_MORGANA                                               : Adept's Eye of Secrets
1798: T4_OFF_ORB_MORGANA@1                                             : Adept's Eye of Secrets
1799: T4_OFF_ORB_MORGANA@2                                             : Adept's Eye of Secrets
1800: T4_OFF_ORB_MORGANA@3                                             : Adept's Eye of Secrets
1801: T4_OFF_ORB_MORGANA@4                                             : Adept's Eye of Secrets
1802: T5_OFF_ORB_MORGANA                                               : Expert's Eye of Secrets
1803: T5_OFF_ORB_MORGANA@1                                             : Expert's Eye of Secrets
1804: T5_OFF_ORB_MORGANA@2                                             : Expert's Eye of Secrets
1805: T5_OFF_ORB_MORGANA@3                                             : Expert's Eye of Secrets
1806: T5_OFF_ORB_MORGANA@4                                             : Expert's Eye of Secrets
1807: T6_OFF_ORB_MORGANA                                               : Master's Eye of Secrets
1808: T6_OFF_ORB_MORGANA@1                                             : Master's Eye of Secrets
1809: T6_OFF_ORB_MORGANA@2                                             : Master's Eye of Secrets
1810: T6_OFF_ORB_MORGANA@3                                             : Master's Eye of Secrets
1811: T6_OFF_ORB_MORGANA@4                                             : Master's Eye of Secrets
1812: T7_OFF_ORB_MORGANA                                               : Grandmaster's Eye of Secrets
1813: T7_OFF_ORB_MORGANA@1                                             : Grandmaster's Eye of Secrets
1814: T7_OFF_ORB_MORGANA@2                                             : Grandmaster's Eye of Secrets
1815: T7_OFF_ORB_MORGANA@3                                             : Grandmaster's Eye of Secrets
1816: T7_OFF_ORB_MORGANA@4                                             : Grandmaster's Eye of Secrets
1817: T8_OFF_ORB_MORGANA                                               : Elder's Eye of Secrets
1818: T8_OFF_ORB_MORGANA@1                                             : Elder's Eye of Secrets
1819: T8_OFF_ORB_MORGANA@2                                             : Elder's Eye of Secrets
1820: T8_OFF_ORB_MORGANA@3                                             : Elder's Eye of Secrets
1821: T8_OFF_ORB_MORGANA@4                                             : Elder's Eye of Secrets
1822: T4_OFF_DEMONSKULL_HELL                                           : Adept's Muisak
1823: T4_OFF_DEMONSKULL_HELL@1                                         : Adept's Muisak
1824: T4_OFF_DEMONSKULL_HELL@2                                         : Adept's Muisak
1825: T4_OFF_DEMONSKULL_HELL@3                                         : Adept's Muisak
1826: T4_OFF_DEMONSKULL_HELL@4                                         : Adept's Muisak
1827: T5_OFF_DEMONSKULL_HELL                                           : Expert's Muisak
1828: T5_OFF_DEMONSKULL_HELL@1                                         : Expert's Muisak
1829: T5_OFF_DEMONSKULL_HELL@2                                         : Expert's Muisak
1830: T5_OFF_DEMONSKULL_HELL@3                                         : Expert's Muisak
1831: T5_OFF_DEMONSKULL_HELL@4                                         : Expert's Muisak
1832: T6_OFF_DEMONSKULL_HELL                                           : Master's Muisak
1833: T6_OFF_DEMONSKULL_HELL@1                                         : Master's Muisak
1834: T6_OFF_DEMONSKULL_HELL@2                                         : Master's Muisak
1835: T6_OFF_DEMONSKULL_HELL@3                                         : Master's Muisak
1836: T6_OFF_DEMONSKULL_HELL@4                                         : Master's Muisak
1837: T7_OFF_DEMONSKULL_HELL                                           : Grandmaster's Muisak
1838: T7_OFF_DEMONSKULL_HELL@1                                         : Grandmaster's Muisak
1839: T7_OFF_DEMONSKULL_HELL@2                                         : Grandmaster's Muisak
1840: T7_OFF_DEMONSKULL_HELL@3                                         : Grandmaster's Muisak
1841: T7_OFF_DEMONSKULL_HELL@4                                         : Grandmaster's Muisak
1842: T8_OFF_DEMONSKULL_HELL                                           : Elder's Muisak
1843: T8_OFF_DEMONSKULL_HELL@1                                         : Elder's Muisak
1844: T8_OFF_DEMONSKULL_HELL@2                                         : Elder's Muisak
1845: T8_OFF_DEMONSKULL_HELL@3                                         : Elder's Muisak
1846: T8_OFF_DEMONSKULL_HELL@4                                         : Elder's Muisak
1847: T4_OFF_TOTEM_KEEPER                                              : Adept's Taproot
1848: T4_OFF_TOTEM_KEEPER@1                                            : Adept's Taproot
1849: T4_OFF_TOTEM_KEEPER@2                                            : Adept's Taproot
1850: T4_OFF_TOTEM_KEEPER@3                                            : Adept's Taproot
1851: T4_OFF_TOTEM_KEEPER@4                                            : Adept's Taproot
1852: T5_OFF_TOTEM_KEEPER                                              : Expert's Taproot
1853: T5_OFF_TOTEM_KEEPER@1                                            : Expert's Taproot
1854: T5_OFF_TOTEM_KEEPER@2                                            : Expert's Taproot
1855: T5_OFF_TOTEM_KEEPER@3                                            : Expert's Taproot
1856: T5_OFF_TOTEM_KEEPER@4                                            : Expert's Taproot
1857: T6_OFF_TOTEM_KEEPER                                              : Master's Taproot
1858: T6_OFF_TOTEM_KEEPER@1                                            : Master's Taproot
1859: T6_OFF_TOTEM_KEEPER@2                                            : Master's Taproot
1860: T6_OFF_TOTEM_KEEPER@3                                            : Master's Taproot
1861: T6_OFF_TOTEM_KEEPER@4                                            : Master's Taproot
1862: T7_OFF_TOTEM_KEEPER                                              : Grandmaster's Taproot
1863: T7_OFF_TOTEM_KEEPER@1                                            : Grandmaster's Taproot
1864: T7_OFF_TOTEM_KEEPER@2                                            : Grandmaster's Taproot
1865: T7_OFF_TOTEM_KEEPER@3                                            : Grandmaster's Taproot
1866: T7_OFF_TOTEM_KEEPER@4                                            : Grandmaster's Taproot
1867: T8_OFF_TOTEM_KEEPER                                              : Elder's Taproot
1868: T8_OFF_TOTEM_KEEPER@1                                            : Elder's Taproot
1869: T8_OFF_TOTEM_KEEPER@2                                            : Elder's Taproot
1870: T8_OFF_TOTEM_KEEPER@3                                            : Elder's Taproot
1871: T8_OFF_TOTEM_KEEPER@4                                            : Elder's Taproot
1872: T4_OFF_CENSER_AVALON                                             : Adept's Celestial Censer
1873: T4_OFF_CENSER_AVALON@1                                           : Adept's Celestial Censer
1874: T4_OFF_CENSER_AVALON@2                                           : Adept's Celestial Censer
1875: T4_OFF_CENSER_AVALON@3                                           : Adept's Celestial Censer
1876: T4_OFF_CENSER_AVALON@4                                           : Adept's Celestial Censer
1877: T5_OFF_CENSER_AVALON                                             : Expert's Celestial Censer
1878: T5_OFF_CENSER_AVALON@1                                           : Expert's Celestial Censer
1879: T5_OFF_CENSER_AVALON@2                                           : Expert's Celestial Censer
1880: T5_OFF_CENSER_AVALON@3                                           : Expert's Celestial Censer
1881: T5_OFF_CENSER_AVALON@4                                           : Expert's Celestial Censer
1882: T6_OFF_CENSER_AVALON                                             : Master's Celestial Censer
1883: T6_OFF_CENSER_AVALON@1                                           : Master's Celestial Censer
1884: T6_OFF_CENSER_AVALON@2                                           : Master's Celestial Censer
1885: T6_OFF_CENSER_AVALON@3                                           : Master's Celestial Censer
1886: T6_OFF_CENSER_AVALON@4                                           : Master's Celestial Censer
1887: T7_OFF_CENSER_AVALON                                             : Grandmaster's Celestial Censer
1888: T7_OFF_CENSER_AVALON@1                                           : Grandmaster's Celestial Censer
1889: T7_OFF_CENSER_AVALON@2                                           : Grandmaster's Celestial Censer
1890: T7_OFF_CENSER_AVALON@3                                           : Grandmaster's Celestial Censer
1891: T7_OFF_CENSER_AVALON@4                                           : Grandmaster's Celestial Censer
1892: T8_OFF_CENSER_AVALON                                             : Elder's Celestial Censer
1893: T8_OFF_CENSER_AVALON@1                                           : Elder's Celestial Censer
1894: T8_OFF_CENSER_AVALON@2                                           : Elder's Celestial Censer
1895: T8_OFF_CENSER_AVALON@3                                           : Elder's Celestial Censer
1896: T8_OFF_CENSER_AVALON@4                                           : Elder's Celestial Censer
1897: T3_OFF_TORCH                                                     : Journeyman's Torch
1898: T4_OFF_TORCH                                                     : Adept's Torch
1899: T4_OFF_TORCH@1                                                   : Adept's Torch
1900: T4_OFF_TORCH@2                                                   : Adept's Torch
1901: T4_OFF_TORCH@3                                                   : Adept's Torch
1902: T4_OFF_TORCH@4                                                   : Adept's Torch
1903: T5_OFF_TORCH                                                     : Expert's Torch
1904: T5_OFF_TORCH@1                                                   : Expert's Torch
1905: T5_OFF_TORCH@2                                                   : Expert's Torch
1906: T5_OFF_TORCH@3                                                   : Expert's Torch
1907: T5_OFF_TORCH@4                                                   : Expert's Torch
1908: T6_OFF_TORCH                                                     : Master's Torch
1909: T6_OFF_TORCH@1                                                   : Master's Torch
1910: T6_OFF_TORCH@2                                                   : Master's Torch
1911: T6_OFF_TORCH@3                                                   : Master's Torch
1912: T6_OFF_TORCH@4                                                   : Master's Torch
1913: T7_OFF_TORCH                                                     : Grandmaster's Torch
1914: T7_OFF_TORCH@1                                                   : Grandmaster's Torch
1915: T7_OFF_TORCH@2                                                   : Grandmaster's Torch
1916: T7_OFF_TORCH@3                                                   : Grandmaster's Torch
1917: T7_OFF_TORCH@4                                                   : Grandmaster's Torch
1918: T8_OFF_TORCH                                                     : Elder's Torch
1919: T8_OFF_TORCH@1                                                   : Elder's Torch
1920: T8_OFF_TORCH@2                                                   : Elder's Torch
1921: T8_OFF_TORCH@3                                                   : Elder's Torch
1922: T8_OFF_TORCH@4                                                   : Elder's Torch
1923: T4_OFF_HORN_KEEPER                                               : Adept's Mistcaller
1924: T4_OFF_HORN_KEEPER@1                                             : Adept's Mistcaller
1925: T4_OFF_HORN_KEEPER@2                                             : Adept's Mistcaller
1926: T4_OFF_HORN_KEEPER@3                                             : Adept's Mistcaller
1927: T4_OFF_HORN_KEEPER@4                                             : Adept's Mistcaller
1928: T5_OFF_HORN_KEEPER                                               : Expert's Mistcaller
1929: T5_OFF_HORN_KEEPER@1                                             : Expert's Mistcaller
1930: T5_OFF_HORN_KEEPER@2                                             : Expert's Mistcaller
1931: T5_OFF_HORN_KEEPER@3                                             : Expert's Mistcaller
1932: T5_OFF_HORN_KEEPER@4                                             : Expert's Mistcaller
1933: T6_OFF_HORN_KEEPER                                               : Master's Mistcaller
1934: T6_OFF_HORN_KEEPER@1                                             : Master's Mistcaller
1935: T6_OFF_HORN_KEEPER@2                                             : Master's Mistcaller
1936: T6_OFF_HORN_KEEPER@3                                             : Master's Mistcaller
1937: T6_OFF_HORN_KEEPER@4                                             : Master's Mistcaller
1938: T7_OFF_HORN_KEEPER                                               : Grandmaster's Mistcaller
1939: T7_OFF_HORN_KEEPER@1                                             : Grandmaster's Mistcaller
1940: T7_OFF_HORN_KEEPER@2                                             : Grandmaster's Mistcaller
1941: T7_OFF_HORN_KEEPER@3                                             : Grandmaster's Mistcaller
1942: T7_OFF_HORN_KEEPER@4                                             : Grandmaster's Mistcaller
1943: T8_OFF_HORN_KEEPER                                               : Elder's Mistcaller
1944: T8_OFF_HORN_KEEPER@1                                             : Elder's Mistcaller
1945: T8_OFF_HORN_KEEPER@2                                             : Elder's Mistcaller
1946: T8_OFF_HORN_KEEPER@3                                             : Elder's Mistcaller
1947: T8_OFF_HORN_KEEPER@4                                             : Elder's Mistcaller
1948: T4_OFF_TALISMAN_AVALON                                           : Adept's Sacred Scepter
1949: T4_OFF_TALISMAN_AVALON@1                                         : Adept's Sacred Scepter
1950: T4_OFF_TALISMAN_AVALON@2                                         : Adept's Sacred Scepter
1951: T4_OFF_TALISMAN_AVALON@3                                         : Adept's Sacred Scepter
1952: T4_OFF_TALISMAN_AVALON@4                                         : Adept's Sacred Scepter
1953: T5_OFF_TALISMAN_AVALON                                           : Expert's Sacred Scepter
1954: T5_OFF_TALISMAN_AVALON@1                                         : Expert's Sacred Scepter
1955: T5_OFF_TALISMAN_AVALON@2                                         : Expert's Sacred Scepter
1956: T5_OFF_TALISMAN_AVALON@3                                         : Expert's Sacred Scepter
1957: T5_OFF_TALISMAN_AVALON@4                                         : Expert's Sacred Scepter
1958: T6_OFF_TALISMAN_AVALON                                           : Master's Sacred Scepter
1959: T6_OFF_TALISMAN_AVALON@1                                         : Master's Sacred Scepter
1960: T6_OFF_TALISMAN_AVALON@2                                         : Master's Sacred Scepter
1961: T6_OFF_TALISMAN_AVALON@3                                         : Master's Sacred Scepter
1962: T6_OFF_TALISMAN_AVALON@4                                         : Master's Sacred Scepter
1963: T7_OFF_TALISMAN_AVALON                                           : Grandmaster's Sacred Scepter
1964: T7_OFF_TALISMAN_AVALON@1                                         : Grandmaster's Sacred Scepter
1965: T7_OFF_TALISMAN_AVALON@2                                         : Grandmaster's Sacred Scepter
1966: T7_OFF_TALISMAN_AVALON@3                                         : Grandmaster's Sacred Scepter
1967: T7_OFF_TALISMAN_AVALON@4                                         : Grandmaster's Sacred Scepter
1968: T8_OFF_TALISMAN_AVALON                                           : Elder's Sacred Scepter
1969: T8_OFF_TALISMAN_AVALON@1                                         : Elder's Sacred Scepter
1970: T8_OFF_TALISMAN_AVALON@2                                         : Elder's Sacred Scepter
1971: T8_OFF_TALISMAN_AVALON@3                                         : Elder's Sacred Scepter
1972: T8_OFF_TALISMAN_AVALON@4                                         : Elder's Sacred Scepter
1973: T4_OFF_LAMP_UNDEAD                                               : Adept's Cryptcandle
1974: T4_OFF_LAMP_UNDEAD@1                                             : Adept's Cryptcandle
1975: T4_OFF_LAMP_UNDEAD@2                                             : Adept's Cryptcandle
1976: T4_OFF_LAMP_UNDEAD@3                                             : Adept's Cryptcandle
1977: T4_OFF_LAMP_UNDEAD@4                                             : Adept's Cryptcandle
1978: T5_OFF_LAMP_UNDEAD                                               : Expert's Cryptcandle
1979: T5_OFF_LAMP_UNDEAD@1                                             : Expert's Cryptcandle
1980: T5_OFF_LAMP_UNDEAD@2                                             : Expert's Cryptcandle
1981: T5_OFF_LAMP_UNDEAD@3                                             : Expert's Cryptcandle
1982: T5_OFF_LAMP_UNDEAD@4                                             : Expert's Cryptcandle
1983: T6_OFF_LAMP_UNDEAD                                               : Master's Cryptcandle
1984: T6_OFF_LAMP_UNDEAD@1                                             : Master's Cryptcandle
1985: T6_OFF_LAMP_UNDEAD@2                                             : Master's Cryptcandle
1986: T6_OFF_LAMP_UNDEAD@3                                             : Master's Cryptcandle
1987: T6_OFF_LAMP_UNDEAD@4                                             : Master's Cryptcandle
1988: T7_OFF_LAMP_UNDEAD                                               : Grandmaster's Cryptcandle
1989: T7_OFF_LAMP_UNDEAD@1                                             : Grandmaster's Cryptcandle
1990: T7_OFF_LAMP_UNDEAD@2                                             : Grandmaster's Cryptcandle
1991: T7_OFF_LAMP_UNDEAD@3                                             : Grandmaster's Cryptcandle
1992: T7_OFF_LAMP_UNDEAD@4                                             : Grandmaster's Cryptcandle
1993: T8_OFF_LAMP_UNDEAD                                               : Elder's Cryptcandle
1994: T8_OFF_LAMP_UNDEAD@1                                             : Elder's Cryptcandle
1995: T8_OFF_LAMP_UNDEAD@2                                             : Elder's Cryptcandle
1996: T8_OFF_LAMP_UNDEAD@3                                             : Elder's Cryptcandle
1997: T8_OFF_LAMP_UNDEAD@4                                             : Elder's Cryptcandle
1998: T4_OFF_JESTERCANE_HELL                                           : Adept's Leering Cane
1999: T4_OFF_JESTERCANE_HELL@1                                         : Adept's Leering Cane
2000: T4_OFF_JESTERCANE_HELL@2                                         : Adept's Leering Cane
2001: T4_OFF_JESTERCANE_HELL@3                                         : Adept's Leering Cane
2002: T4_OFF_JESTERCANE_HELL@4                                         : Adept's Leering Cane
